,Sample,x,y,w,h
82,Sample_35/frame_0094.png,1125,589,5,5
83,Sample_13/frame_0176.png,1000,528,5,5
84,Sample_36/frame_0050.png,1160,649,5,5
85,Sample_22/frame_0681.png,511,82,4,5
86,Sample_7/frame_0231.png,1006,466,5,5
87,Sample_39/frame_0067.png,1133,637,5,5
88,Sample_9/frame_0557.png,640,161,5,5
89,Sample_22/frame_0349.png,845,369,5,5
90,Sample_8/frame_0414.png,805,264,5,4
91,Sample_23/frame_0166.png,1034,526,5,5
92,Sample_25/frame_0025.png,1178,668,5,5
93,Sample_56/frame_0443.png,781,212,7,7
94,Sample_46/frame_0154.png,1052,555,5,5
95,Sample_11/frame_0304.png,901,407,5,5
96,Sample_4/frame_0107.png,1097,588,5,5
97,Sample_60/frame_0588.png,617,106,7,7
98,Sample_38/frame_0537.png,685,226,5,5
99,Sample_45/frame_0142.png,1049,567,5,5
100,Sample_18/frame_0194.png,986,509,5,5
101,Sample_23/frame_0617.png,625,49,5,5
102,Sample_36/frame_0231.png,986,462,5,5
103,Sample_15/frame_0540.png,653,152,5,5
104,Sample_12/frame_0339.png,874,424,5,5
105,Sample_24/frame_0008.png,1195,696,5,5
106,Sample_56/frame_0230.png,980,449,7,7
107,Sample_40/frame_0657.png,544,6,5,5
108,Sample_3/frame_0288.png,906,388,5,5
109,Sample_55/frame_0610.png,599,70,7,7
110,Sample_28/frame_0199.png,1002,496,5,5
111,Sample_8/frame_0375.png,838,303,1,1
112,Sample_8/frame_0375.png,838,300,1,2
113,Sample_57/frame_0109.png,1081,591,6,7
114,Sample_5/frame_0585.png,561,119,5,5
115,Sample_24/frame_0187.png,1038,504,5,5
116,Sample_6/frame_0240.png,957,459,5,5
117,Sample_32/frame_0531.png,651,169,5,5
118,Sample_15/frame_0613.png,582,75,5,5
119,Sample_39/frame_0563.png,663,120,5,5
120,Sample_10/frame_0020.png,1180,676,5,5
121,Sample_42/frame_0323.png,899,366,5,5
122,Sample_33/frame_0556.png,654,161,5,5
123,Sample_17/frame_0342.png,871,352,5,5
124,Sample_8/frame_0033.png,1171,657,5,5
125,Sample_20/frame_0627.png,583,87,5,5
126,Sample_58/frame_0043.png,1158,667,7,7
127,Sample_47/frame_0179.png,1030,512,5,5
128,Sample_8/frame_0583.png,641,110,5,5
129,Sample_13/frame_0497.png,669,201,5,5
130,Sample_44/frame_0013.png,1187,682,5,5
131,Sample_58/frame_0308.png,905,387,7,8
132,Sample_32/frame_0130.png,1053,565,5,5
133,Sample_40/frame_0624.png,580,47,5,5
134,Sample_37/frame_0632.png,552,91,5,5
135,Sample_52/frame_0467.png,743,224,5,5
136,Sample_38/frame_0271.png,937,455,5,5
137,Sample_20/frame_0596.png,612,125,5,5
138,Sample_42/frame_0254.png,972,432,5,5
139,Sample_24/frame_0462.png,769,248,5,5
140,Sample_52/frame_0371.png,828,328,5,5
141,Sample_36/frame_0092.png,1119,604,5,5
142,Sample_42/frame_0385.png,826,318,5,5
143,Sample_12/frame_0727.png,495,42,4,5
144,Sample_49/frame_0166.png,1051,528,5,5
145,Sample_55/frame_0307.png,903,375,7,7
146,Sample_20/frame_0399.png,785,319,5,5
147,Sample_60/frame_0221.png,998,463,7,7
148,Sample_33/frame_0463.png,757,252,5,5
149,Sample_50/frame_0205.png,1020,485,5,5
150,Sample_15/frame_0072.png,1115,630,5,5
151,Sample_32/frame_0283.png,907,424,5,5
152,Sample_43/frame_0121.png,1067,567,4,5
153,Sample_37/frame_0707.png,477,14,5,5
154,Sample_31/frame_0672.png,553,54,5,5
155,Sample_59/frame_0150.png,1066,546,7,7
156,Sample_48/frame_0491.png,678,239,5,5
157,Sample_36/frame_0203.png,1015,479,5,6
158,Sample_5/frame_0106.png,1089,601,5,5
159,Sample_54/frame_0018.png,1183,683,5,5
160,Sample_45/frame_0323.png,887,386,5,5
161,Sample_9/frame_0194.png,1000,519,4,5
162,Sample_27/frame_0230.png,965,468,5,5
163,Sample_58/frame_0466.png,754,231,7,7
164,Sample_50/frame_0255.png,963,423,5,5
165,Sample_37/frame_0580.png,600,139,5,5
166,Sample_55/frame_0160.png,1044,526,7,7
167,Sample_13/frame_0467.png,698,236,5,5
168,Sample_53/frame_0180.png,991,524,5,5
169,Sample_16/frame_0269.png,964,419,5,5
170,Sample_7/frame_0230.png,1008,468,5,5
171,Sample_3/frame_0535.png,656,152,5,5
172,Sample_34/frame_0283.png,925,421,3,3
173,Sample_4/frame_0117.png,1086,576,5,5
174,Sample_54/frame_0222.png,989,454,5,5
175,Sample_35/frame_0039.png,1165,657,5,5
176,Sample_60/frame_0209.png,1014,475,7,7
177,Sample_4/frame_0316.png,905,385,5,5
178,Sample_6/frame_0244.png,957,454,5,5
179,Sample_40/frame_0100.png,1109,600,5,5
180,Sample_5/frame_0532.png,621,180,5,5
181,Sample_29/frame_0413.png,812,295,3,3
182,Sample_33/frame_0710.png,509,18,5,5
183,Sample_19/frame_0398.png,801,283,5,5
184,Sample_29/frame_0437.png,788,260,3,3
185,Sample_10/frame_0275.png,933,451,5,5
186,Sample_38/frame_0224.png,987,491,5,5
187,Sample_29/frame_0377.png,845,335,3,4
188,Sample_26/frame_0079.png,1109,630,5,5
189,Sample_16/frame_0558.png,680,144,5,5
190,Sample_2/frame_0071.png,1121,633,5,5
191,Sample_12/frame_0596.png,625,175,5,5
192,Sample_15/frame_0037.png,1150,677,5,5
193,Sample_57/frame_0464.png,742,221,7,7
194,Sample_38/frame_0562.png,656,202,5,5
195,Sample_3/frame_0345.png,846,324,5,5
196,Sample_60/frame_0029.png,1161,671,7,7
197,Sample_3/frame_0015.png,1184,680,5,5
198,Sample_20/frame_0409.png,780,306,5,5
199,Sample_37/frame_0486.png,695,239,5,5
200,Sample_25/frame_0633.png,538,14,5,5
201,Sample_45/frame_0507.png,724,219,5,5
202,Sample_11/frame_0669.png,547,67,5,5
203,Sample_48/frame_0060.png,1135,640,5,5
204,Sample_19/frame_0566.png,637,128,5,5
205,Sample_48/frame_0435.png,733,289,5,5
206,Sample_11/frame_0450.png,758,273,5,5
207,Sample_53/frame_0575.png,602,116,5,5
208,Sample_35/frame_0224.png,989,476,5,5
209,Sample_28/frame_0698.png,495,24,5,5
210,Sample_20/frame_0567.png,641,157,5,5
211,Sample_21/frame_0375.png,821,330,5,6
212,Sample_49/frame_0633.png,565,54,5,5
213,Sample_36/frame_0022.png,1185,678,5,5
214,Sample_24/frame_0208.png,1013,484,5,5
215,Sample_12/frame_0147.png,1058,587,5,5
216,Sample_37/frame_0085.png,1119,603,5,5
217,Sample_23/frame_0569.png,665,106,5,5
218,Sample_16/frame_0468.png,770,235,5,5
219,Sample_20/frame_0108.png,1081,605,5,5
220,Sample_22/frame_0261.png,936,460,5,5
221,Sample_49/frame_0009.png,1191,690,5,5
222,Sample_42/frame_0350.png,870,344,5,5
223,Sample_40/frame_0405.png,802,271,5,5
224,Sample_56/frame_0332.png,884,341,7,7
225,Sample_8/frame_0601.png,620,101,5,5
226,Sample_23/frame_0472.png,760,223,5,5
227,Sample_1/frame_0384.png,841,278,5,5
228,Sample_16/frame_0666.png,572,26,5,5
229,Sample_39/frame_0615.png,632,69,5,5
230,Sample_38/frame_0524.png,700,234,5,5
231,Sample_39/frame_0139.png,1075,563,5,5
232,Sample_16/frame_0509.png,738,195,5,5
233,Sample_48/frame_0642.png,533,82,5,5
234,Sample_34/frame_0018.png,1180,673,3,3
235,Sample_42/frame_0359.png,857,341,5,5
236,Sample_35/frame_0548.png,636,184,5,5
237,Sample_50/frame_0231.png,992,454,5,5
238,Sample_9/frame_0000.png,1199,700,5,5
239,Sample_15/frame_0391.png,802,311,5,5
240,Sample_31/frame_0502.png,711,206,5,5
241,Sample_34/frame_0363.png,842,338,3,3
242,Sample_4/frame_0657.png,568,77,5,5
243,Sample_17/frame_0325.png,888,366,5,5
244,Sample_57/frame_0112.png,1079,590,7,7
245,Sample_5/frame_0101.png,1093,607,5,5
246,Sample_15/frame_0323.png,873,377,5,5
247,Sample_41/frame_0053.png,1149,631,5,5
248,Sample_55/frame_0171.png,1032,508,7,7
249,Sample_46/frame_0429.png,776,282,5,5
250,Sample_7/frame_0447.png,781,236,5,5
251,Sample_16/frame_0164.png,1045,538,5,5
252,Sample_48/frame_0521.png,641,198,5,5
253,Sample_13/frame_0499.png,665,199,5,5
254,Sample_6/frame_0568.png,632,141,5,5
255,Sample_28/frame_0156.png,1046,543,5,5
256,Sample_42/frame_0334.png,885,355,5,5
257,Sample_60/frame_0380.png,844,297,7,7
258,Sample_44/frame_0608.png,619,104,5,5
259,Sample_35/frame_0346.png,852,353,5,5
260,Sample_60/frame_0176.png,1046,507,6,7
261,Sample_52/frame_0156.png,1041,536,5,5
262,Sample_33/frame_0669.png,547,57,5,5
263,Sample_59/frame_0363.png,865,346,6,7
264,Sample_51/frame_0642.png,568,21,5,5
265,Sample_9/frame_0119.png,1086,587,5,5
266,Sample_46/frame_0502.png,711,202,5,5
267,Sample_34/frame_0141.png,1056,543,3,3
268,Sample_26/frame_0092.png,1098,617,5,5
269,Sample_2/frame_0483.png,743,237,5,5
270,Sample_37/frame_0203.png,1001,497,5,5
271,Sample_52/frame_0658.png,559,28,5,5
272,Sample_59/frame_0682.png,561,48,7,7
273,Sample_57/frame_0693.png,533,10,7,7
274,Sample_15/frame_0374.png,812,325,5,5
275,Sample_44/frame_0494.png,721,212,5,5
276,Sample_12/frame_0651.png,562,121,5,5
277,Sample_24/frame_0686.png,526,23,5,5
278,Sample_16/frame_0270.png,964,417,5,5
279,Sample_35/frame_0509.png,681,219,5,5
280,Sample_7/frame_0099.png,1121,600,5,5
281,Sample_29/frame_0053.png,1148,643,3,3
282,Sample_41/frame_0282.png,927,433,5,5
283,Sample_42/frame_0114.png,1085,571,5,5
284,Sample_3/frame_0168.png,1018,512,5,5
285,Sample_11/frame_0259.png,953,448,5,5
286,Sample_51/frame_0353.png,857,318,5,5
287,Sample_10/frame_0670.png,525,96,5,5
288,Sample_2/frame_0356.png,859,354,5,5
289,Sample_53/frame_0521.png,662,172,5,5
290,Sample_10/frame_0666.png,528,101,5,5
291,Sample_46/frame_0167.png,1035,546,5,5
292,Sample_49/frame_0088.png,1123,609,5,5
293,Sample_47/frame_0325.png,869,356,5,5
294,Sample_32/frame_0521.png,662,178,5,5
295,Sample_41/frame_0451.png,787,266,5,5
296,Sample_42/frame_0203.png,1024,481,5,5
297,Sample_50/frame_0170.png,1046,518,5,5
298,Sample_10/frame_0555.png,648,212,5,5
299,Sample_38/frame_0009.png,1187,692,5,5
300,Sample_53/frame_0532.png,640,162,5,5
301,Sample_42/frame_0273.png,949,415,5,5
302,Sample_19/frame_0521.png,678,176,5,5
303,Sample_56/frame_0138.png,1072,538,7,7
304,Sample_56/frame_0404.png,818,264,7,7
305,Sample_1/frame_0276.png,934,391,5,5
306,Sample_38/frame_0500.png,722,253,5,5
307,Sample_21/frame_0123.png,1083,577,5,5
308,Sample_50/frame_0099.png,1114,593,5,5
309,Sample_28/frame_0329.png,864,391,5,5
310,Sample_26/frame_0451.png,762,277,5,5
311,Sample_16/frame_0055.png,1151,642,5,5
312,Sample_38/frame_0256.png,955,468,5,5
313,Sample_5/frame_0063.png,1130,645,5,5
314,Sample_29/frame_0298.png,917,422,3,3
315,Sample_57/frame_0085.png,1112,614,5,6
316,Sample_54/frame_0067.png,1133,620,5,5
317,Sample_22/frame_0353.png,839,367,5,5
318,Sample_41/frame_0185.png,1013,500,5,5
319,Sample_22/frame_0253.png,941,463,5,5
320,Sample_39/frame_0131.png,1080,567,5,5
321,Sample_10/frame_0554.png,648,214,5,5
322,Sample_33/frame_0637.png,571,93,5,5
323,Sample_28/frame_0495.png,705,215,5,5
324,Sample_56/frame_0505.png,723,146,7,7
325,Sample_11/frame_0000.png,1197,698,5,5
326,Sample_44/frame_0613.png,616,99,5,5
327,Sample_34/frame_0693.png,503,10,3,3
328,Sample_1/frame_0112.png,1093,579,5,5
329,Sample_44/frame_0281.png,918,419,5,5
330,Sample_52/frame_0244.png,951,441,5,5
331,Sample_60/frame_0637.png,573,61,6,6
332,Sample_17/frame_0273.png,930,411,5,5
333,Sample_21/frame_0090.png,1111,611,5,5
334,Sample_12/frame_0419.png,791,349,5,4
335,Sample_40/frame_0264.png,951,418,5,5
336,Sample_32/frame_0385.png,806,318,5,5
337,Sample_36/frame_0116.png,1094,579,5,5
338,Sample_4/frame_0306.png,911,388,5,5
339,Sample_44/frame_0103.png,1102,600,5,5
340,Sample_15/frame_0626.png,560,65,5,5
341,Sample_11/frame_0496.png,706,226,5,5
342,Sample_40/frame_0542.png,669,130,5,5
343,Sample_26/frame_0260.png,949,469,5,5
344,Sample_26/frame_0126.png,1077,588,5,5
345,Sample_45/frame_0572.png,667,136,5,5
346,Sample_31/frame_0175.png,1039,519,5,5
347,Sample_40/frame_0168.png,1050,518,5,5
348,Sample_34/frame_0610.png,590,90,3,3
349,Sample_16/frame_0021.png,1182,676,5,5
350,Sample_41/frame_0625.png,617,86,5,5
351,Sample_44/frame_0090.png,1120,609,5,5
352,Sample_33/frame_0310.png,890,388,5,5
353,Sample_50/frame_0113.png,1104,574,5,5
354,Sample_38/frame_0148.png,1046,569,5,5
355,Sample_24/frame_0078.png,1123,624,5,5
356,Sample_18/frame_0629.png,554,79,5,5
357,Sample_52/frame_0531.png,682,161,5,5
358,Sample_33/frame_0011.png,1187,684,5,5
359,Sample_34/frame_0586.png,611,114,3,3
360,Sample_15/frame_0192.png,1013,497,5,5
361,Sample_16/frame_0476.png,763,228,5,5
362,Sample_40/frame_0260.png,955,421,5,5
363,Sample_10/frame_0072.png,1139,633,5,5
364,Sample_58/frame_0254.png,956,436,7,7
365,Sample_8/frame_0222.png,990,469,5,5
366,Sample_24/frame_0298.png,927,394,5,5
367,Sample_13/frame_0463.png,701,239,5,5
368,Sample_22/frame_0143.png,1043,553,5,5
369,Sample_5/frame_0043.png,1149,665,5,5
370,Sample_49/frame_0062.png,1143,636,5,5
371,Sample_58/frame_0658.png,554,28,7,7
372,Sample_34/frame_0394.png,812,302,3,3
373,Sample_46/frame_0109.png,1088,590,5,5
374,Sample_48/frame_0104.png,1089,592,5,4
375,Sample_45/frame_0508.png,725,219,5,5
376,Sample_50/frame_0370.png,858,296,5,5
377,Sample_59/frame_0182.png,1041,512,7,7
378,Sample_48/frame_0358.png,824,350,5,5
379,Sample_41/frame_0510.png,737,219,5,5
380,Sample_8/frame_0445.png,775,242,5,5
381,Sample_40/frame_0252.png,961,428,5,5
382,Sample_22/frame_0184.png,1014,516,5,5
383,Sample_30/frame_0634.png,538,70,3,3
384,Sample_34/frame_0282.png,728,540,4,5
385,Sample_34/frame_0282.png,925,420,3,3
386,Sample_58/frame_0019.png,1176,682,7,7
387,Sample_19/frame_0292.png,884,397,5,5
388,Sample_51/frame_0532.png,672,130,5,5
389,Sample_43/frame_0072.png,1126,624,5,5
390,Sample_53/frame_0602.png,567,83,5,5
391,Sample_56/frame_0238.png,973,442,7,7
392,Sample_55/frame_0061.png,1143,622,6,7
393,Sample_5/frame_0600.png,541,106,5,5
394,Sample_19/frame_0288.png,884,402,5,5
395,Sample_7/frame_0233.png,1004,465,5,5
396,Sample_48/frame_0298.png,889,403,4,5
397,Sample_19/frame_0420.png,772,260,5,5
398,Sample_33/frame_0456.png,762,255,5,5
399,Sample_60/frame_0705.png,492,2,7,7
400,Sample_44/frame_0341.png,878,360,5,5
401,Sample_2/frame_0299.png,909,413,5,5
402,Sample_6/frame_0206.png,986,495,5,5
403,Sample_38/frame_0671.png,535,76,5,5
404,Sample_53/frame_0109.png,1075,605,5,5
405,Sample_37/frame_0497.png,685,231,5,5
406,Sample_7/frame_0436.png,795,251,4,4
407,Sample_10/frame_0201.png,1000,507,5,5
408,Sample_1/frame_0117.png,1091,576,4,5
409,Sample_51/frame_0557.png,644,105,5,5
410,Sample_32/frame_0064.png,1131,622,5,5
411,Sample_3/frame_0179.png,1011,503,5,5
412,Sample_16/frame_0320.png,922,374,5,5
413,Sample_24/frame_0378.png,842,331,5,5
414,Sample_54/frame_0077.png,1123,609,5,5
415,Sample_2/frame_0202.png,1003,505,5,5
416,Sample_38/frame_0504.png,720,250,5,5
417,Sample_10/frame_0444.png,767,296,5,5
418,Sample_10/frame_0304.png,901,426,5,5
419,Sample_29/frame_0017.png,1171,672,3,3
420,Sample_53/frame_0278.png,903,430,5,5
421,Sample_7/frame_0033.png,1172,670,5,5
422,Sample_37/frame_0119.png,1086,573,5,5
423,Sample_31/frame_0345.png,897,359,5,5
424,Sample_52/frame_0387.png,811,309,5,5
425,Sample_17/frame_0233.png,969,455,5,5
426,Sample_23/frame_0008.png,1191,693,5,5
427,Sample_34/frame_0474.png,740,225,3,3
428,Sample_44/frame_0313.png,901,384,5,5
429,Sample_54/frame_0172.png,1035,506,5,5
430,Sample_45/frame_0389.png,814,317,5,5
431,Sample_39/frame_0652.png,591,35,5,5
432,Sample_36/frame_0051.png,1159,650,5,5
433,Sample_27/frame_0548.png,682,131,5,5
434,Sample_31/frame_0036.png,1168,667,5,5
435,Sample_26/frame_0399.png,806,327,5,5
436,Sample_56/frame_0622.png,606,28,7,7
437,Sample_3/frame_0188.png,998,493,5,5
438,Sample_47/frame_0328.png,866,354,5,5
439,Sample_57/frame_0338.png,857,358,7,7
440,Sample_34/frame_0434.png,772,251,3,3
441,Sample_37/frame_0685.png,506,37,5,5
442,Sample_17/frame_0487.png,722,209,5,5
443,Sample_18/frame_0636.png,547,71,5,5
444,Sample_12/frame_0270.png,938,487,5,5
445,Sample_29/frame_0684.png,539,11,3,3
446,Sample_27/frame_0185.png,1008,518,5,5
447,Sample_36/frame_0656.png,532,12,5,5
448,Sample_3/frame_0439.png,761,242,5,5
449,Sample_53/frame_0459.png,720,235,5,5
450,Sample_48/frame_0143.png,1056,554,5,5
451,Sample_9/frame_0366.png,845,348,5,5
452,Sample_40/frame_0650.png,552,14,5,5
453,Sample_2/frame_0493.png,736,228,5,5
454,Sample_43/frame_0239.png,964,430,5,4
455,Sample_55/frame_0444.png,761,234,7,7
456,Sample_14/frame_0388.png,809,298,5,5
457,Sample_28/frame_0399.png,796,306,5,5
458,Sample_33/frame_0252.png,943,440,5,5
459,Sample_58/frame_0433.png,789,262,6,6
460,Sample_12/frame_0679.png,535,89,5,4
461,Sample_60/frame_0557.png,661,134,6,7
462,Sample_45/frame_0091.png,1095,620,5,5
463,Sample_49/frame_0185.png,1033,504,5,5
464,Sample_3/frame_0256.png,939,421,5,5
465,Sample_48/frame_0110.png,1083,582,5,5
466,Sample_40/frame_0009.png,1191,692,5,5
467,Sample_34/frame_0618.png,582,86,3,3
468,Sample_20/frame_0519.png,685,207,5,5
469,Sample_29/frame_0572.png,675,136,3,3
470,Sample_49/frame_0518.png,685,157,5,5
471,Sample_1/frame_0174.png,1036,501,5,5
472,Sample_55/frame_0126.png,1087,553,7,7
473,Sample_12/frame_0066.png,1138,649,5,5
474,Sample_54/frame_0257.png,964,418,5,5
475,Sample_23/frame_0298.png,920,400,5,5
476,Sample_35/frame_0306.png,891,393,5,5
477,Sample_51/frame_0189.png,1003,490,5,5
478,Sample_27/frame_0619.png,610,59,5,5
479,Sample_39/frame_0599.png,645,89,5,5
480,Sample_32/frame_0006.png,1192,693,5,5
481,Sample_35/frame_0023.png,1173,673,5,5
482,Sample_39/frame_0319.png,907,393,5,5
483,Sample_59/frame_0710.png,525,20,7,7
484,Sample_2/frame_0514.png,714,204,5,5
485,Sample_6/frame_0156.png,1041,548,5,5
486,Sample_34/frame_0066.png,1128,621,2,3
487,Sample_29/frame_0139.png,1059,567,3,3
488,Sample_5/frame_0345.png,818,378,5,5
489,Sample_19/frame_0316.png,862,372,5,5
490,Sample_43/frame_0616.png,593,40,5,5
491,Sample_4/frame_0077.png,1123,617,5,5
492,Sample_15/frame_0412.png,779,292,5,5
493,Sample_44/frame_0104.png,1102,597,5,5
494,Sample_8/frame_0155.png,1065,534,5,5
495,Sample_22/frame_0429.png,770,295,5,5
496,Sample_60/frame_0370.png,855,312,7,7
497,Sample_16/frame_0040.png,1161,660,5,5
498,Sample_2/frame_0704.png,513,3,5,5
499,Sample_1/frame_0082.png,1113,612,5,5
500,Sample_26/frame_0125.png,1077,588,5,5
501,Sample_27/frame_0658.png,576,22,5,5
502,Sample_18/frame_0052.png,1145,652,5,5
503,Sample_52/frame_0122.png,1084,575,5,5
504,Sample_47/frame_0583.png,611,67,5,5
505,Sample_25/frame_0269.png,916,407,5,5
506,Sample_29/frame_0311.png,903,404,3,3
507,Sample_57/frame_0580.png,641,113,7,7
508,Sample_30/frame_0448.png,743,253,3,3
509,Sample_58/frame_0672.png,539,22,7,7
510,Sample_13/frame_0516.png,648,181,4,5
511,Sample_59/frame_0204.png,1019,489,7,7
512,Sample_9/frame_0446.png,762,274,5,5
513,Sample_51/frame_0222.png,969,456,5,5
514,Sample_23/frame_0594.png,643,76,5,5
515,Sample_32/frame_0039.png,1159,652,5,5
516,Sample_53/frame_0156.png,1026,552,5,5
517,Sample_21/frame_0433.png,772,268,5,5
518,Sample_42/frame_0440.png,769,261,5,5
519,Sample_59/frame_0466.png,771,251,7,7
520,Sample_3/frame_0551.png,638,140,5,5
521,Sample_13/frame_0669.png,499,15,5,5
522,Sample_37/frame_0063.png,1137,631,5,5
523,Sample_42/frame_0643.png,581,48,5,5
524,Sample_57/frame_0124.png,1065,581,7,7
525,Sample_16/frame_0306.png,930,386,5,5
526,Sample_37/frame_0649.png,543,78,5,5
527,Sample_3/frame_0536.png,655,151,5,5
528,Sample_1/frame_0192.png,1019,477,5,5
529,Sample_54/frame_0337.png,886,341,4,3
530,Sample_30/frame_0096.png,1099,600,3,3
531,Sample_17/frame_0311.png,903,373,5,5
532,Sample_26/frame_0493.png,725,233,5,5
533,Sample_27/frame_0133.png,1063,569,5,5
534,Sample_30/frame_0204.png,985,497,3,3
535,Sample_19/frame_0523.png,675,174,5,5
536,Sample_17/frame_0003.png,1196,696,5,5
537,Sample_6/frame_0228.png,969,470,5,5
538,Sample_10/frame_0091.png,1127,614,5,5
539,Sample_59/frame_0114.png,1098,583,7,7
540,Sample_46/frame_0080.png,1119,620,5,5
541,Sample_8/frame_0709.png,505,13,4,4
542,Sample_30/frame_0153.png,1046,539,3,3
543,Sample_37/frame_0034.png,1157,666,5,5
544,Sample_42/frame_0506.png,708,199,5,5
545,Sample_17/frame_0055.png,1153,637,4,5
546,Sample_23/frame_0406.png,810,293,5,5
547,Sample_19/frame_0099.png,1080,600,5,5
548,Sample_7/frame_0269.png,966,423,5,5
549,Sample_9/frame_0570.png,633,153,5,6
550,Sample_23/frame_0417.png,801,283,5,5
551,Sample_29/frame_0113.png,1081,589,3,3
552,Sample_40/frame_0634.png,564,36,5,5
553,Sample_51/frame_0208.png,980,470,5,5
554,Sample_58/frame_0546.png,665,149,6,6
555,Sample_7/frame_0382.png,853,303,5,5
556,Sample_54/frame_0210.png,998,468,5,5
557,Sample_36/frame_0148.png,1062,545,5,5
558,Sample_22/frame_0102.png,1083,593,5,5
559,Sample_16/frame_0258.png,969,428,5,5
560,Sample_21/frame_0395.png,805,311,5,5
561,Sample_35/frame_0207.png,1003,494,5,5
562,Sample_9/frame_0070.png,1128,632,5,5
563,Sample_40/frame_0583.png,626,87,5,5
564,Sample_12/frame_0424.png,785,342,5,5
565,Sample_12/frame_0709.png,507,60,4,4
566,Sample_37/frame_0439.png,738,281,5,5
567,Sample_16/frame_0415.png,825,284,5,5
568,Sample_14/frame_0148.png,1067,550,5,5
569,Sample_26/frame_0372.png,832,347,5,5
570,Sample_56/frame_0523.png,709,133,7,7
571,Sample_13/frame_0171.png,1005,534,5,5
572,Sample_21/frame_0044.png,1162,660,5,5
573,Sample_5/frame_0595.png,549,111,5,5
